id,year,state_name,state_code,marital_status,gender,number_of_deaths
176,2018,Goa,30,Others,Transgender,0
177,2018,Goa,30,Separated,Female,0
178,2018,Goa,30,Separated,Male,1
179,2018,Goa,30,Separated,Transgender,0
180,2018,Goa,30,Status Not Known,Female,2
181,2018,Goa,30,Status Not Known,Male,11
182,2018,Goa,30,Status Not Known,Transgender,0
183,2018,Goa,30,Un-Married,Female,17
184,2018,Goa,30,Un-Married,Male,74
185,2018,Goa,30,Un-Married,Transgender,0
186,2018,Goa,30,Widowed/Widower,Female,2
187,2018,Goa,30,Widowed/Widower,Male,1
188,2018,Goa,30,Widowed/Widower,Transgender,0
189,2018,Gujarat,24,Divorcee,Female,36
190,2018,Gujarat,24,Divorcee,Male,54
191,2018,Gujarat,24,Divorcee,Transgender,0
192,2018,Gujarat,24,Married,Female,1782
193,2018,Gujarat,24,Married,Male,3782
194,2018,Gujarat,24,Married,Transgender,0
195,2018,Gujarat,24,Others,Female,0
196,2018,Gujarat,24,Others,Male,0
197,2018,Gujarat,24,Others,Transgender,0
198,2018,Gujarat,24,Separated,Female,13
199,2018,Gujarat,24,Separated,Male,45
200,2018,Gujarat,24,Separated,Transgender,0
201,2018,Gujarat,24,Status Not Known,Female,14
202,2018,Gujarat,24,Status Not Known,Male,87
203,2018,Gujarat,24,Status Not Known,Transgender,0
204,2018,Gujarat,24,Un-Married,Female,651
205,2018,Gujarat,24,Un-Married,Male,1122
206,2018,Gujarat,24,Un-Married,Transgender,0
207,2018,Gujarat,24,Widowed/Widower,Female,87
208,2018,Gujarat,24,Widowed/Widower,Male,120
209,2018,Gujarat,24,Widowed/Widower,Transgender,0
210,2018,Haryana,6,Divorcee,Female,5
211,2018,Haryana,6,Divorcee,Male,27
212,2018,Haryana,6,Divorcee,Transgender,0
213,2018,Haryana,6,Married,Female,526
214,2018,Haryana,6,Married,Male,1937
215,2018,Haryana,6,Married,Transgender,0
216,2018,Haryana,6,Others,Female,14
217,2018,Haryana,6,Others,Male,47
218,2018,Haryana,6,Others,Transgender,0
219,2018,Haryana,6,Separated,Female,0
220,2018,Haryana,6,Separated,Male,12
221,2018,Haryana,6,Separated,Transgender,0
222,2018,Haryana,6,Status Not Known,Female,12
223,2018,Haryana,6,Status Not Known,Male,63
224,2018,Haryana,6,Status Not Known,Transgender,0
225,2018,Haryana,6,Un-Married,Female,189
226,2018,Haryana,6,Un-Married,Male,626
227,2018,Haryana,6,Un-Married,Transgender,0
228,2018,Haryana,6,Widowed/Widower,Female,19
229,2018,Haryana,6,Widowed/Widower,Male,70
230,2018,Haryana,6,Widowed/Widower,Transgender,0
231,2018,Himachal Pradesh,2,Divorcee,Female,0
232,2018,Himachal Pradesh,2,Divorcee,Male,1
233,2018,Himachal Pradesh,2,Divorcee,Transgender,0
234,2018,Himachal Pradesh,2,Married,Female,161
235,2018,Himachal Pradesh,2,Married,Male,320
236,2018,Himachal Pradesh,2,Married,Transgender,0
237,2018,Himachal Pradesh,2,Others,Female,0
238,2018,Himachal Pradesh,2,Others,Male,2
239,2018,Himachal Pradesh,2,Others,Transgender,0
240,2018,Himachal Pradesh,2,Separated,Female,0
241,2018,Himachal Pradesh,2,Separated,Male,0
242,2018,Himachal Pradesh,2,Separated,Transgender,0
243,2018,Himachal Pradesh,2,Status Not Known,Female,0
244,2018,Himachal Pradesh,2,Status Not Known,Male,0
245,2018,Himachal Pradesh,2,Status Not Known,Transgender,0
246,2018,Himachal Pradesh,2,Un-Married,Female,83
247,2018,Himachal Pradesh,2,Un-Married,Male,164
248,2018,Himachal Pradesh,2,Un-Married,Transgender,0
249,2018,Himachal Pradesh,2,Widowed/Widower,Female,3
250,2018,Himachal Pradesh,2,Widowed/Widower,Male,6
251,2018,Himachal Pradesh,2,Widowed/Widower,Transgender,0
252,2018,Jammu And Kashmir,1,Divorcee,Female,0
253,2018,Jammu And Kashmir,1,Divorcee,Male,1
254,2018,Jammu And Kashmir,1,Divorcee,Transgender,0
255,2018,Jammu And Kashmir,1,Married,Female,61
256,2018,Jammu And Kashmir,1,Married,Male,72
257,2018,Jammu And Kashmir,1,Married,Transgender,0
258,2018,Jammu And Kashmir,1,Others,Female,18
259,2018,Jammu And Kashmir,1,Others,Male,19
260,2018,Jammu And Kashmir,1,Others,Transgender,0
261,2018,Jammu And Kashmir,1,Separated,Female,0
262,2018,Jammu And Kashmir,1,Separated,Male,0
263,2018,Jammu And Kashmir,1,Separated,Transgender,0
264,2018,Jammu And Kashmir,1,Status Not Known,Female,6
265,2018,Jammu And Kashmir,1,Status Not Known,Male,1
